姓名,活動名稱,報名日期,出席次數,小組
王小明,主日崇拜,2026-06-02,4,大衛小組
林美惠,主日崇拜,2026-06-02,3,約書亞小組
陳建宏,週五禱告會,2026-06-06,2,大衛小組
張雅婷,週五禱告會,2026-06-06,5,以斯帖小組
李冠緯,青年團契,2026-06-13,1,保羅小組
黃詩涵,青年團契,2026-06-13,4,以斯帖小組
吳承恩,主日崇拜,2026-06-16,3,約書亞小組
劉俊傑,社區關懷,2026-06-20,2,保羅小組
蔡依林,社區關懷,2026-06-20,3,以斯帖小組
鄭文彬,主日崇拜,2026-06-30,4,大衛小組
王小明,週五禱告會,2026-07-04,3,大衛小組
林美惠,青年團契,2026-07-11,2,約書亞小組
陳建宏,主日崇拜,2026-07-14,4,大衛小組
張雅婷,社區關懷,2026-07-18,5,以斯帖小組
李冠緯,主日崇拜,2026-07-14,2,保羅小組
黃詩涵,週五禱告會,2026-07-04,4,以斯帖小組
吳承恩,社區關懷,2026-07-18,1,約書亞小組
劉俊傑,青年團契,2026-07-11,3,保羅小組
蔡依林,主日崇拜,2026-07-28,4,以斯帖小組
鄭文彬,青年團契,2026-07-11,2,大衛小組
謝宗翰,主日崇拜,2026-07-28,3,保羅小組
王小明,社區關懷,2026-08-15,2,大衛小組
林美惠,主日崇拜,2026-08-04,5,約書亞小組
陳建宏,青年團契,2026-08-08,3,大衛小組
張雅婷,週五禱告會,2026-08-01,4,以斯帖小組
李冠緯,社區關懷,2026-08-15,1,保羅小組
黃詩涵,主日崇拜,2026-08-25,5,以斯帖小組
吳承恩,週五禱告會,2026-08-01,2,約書亞小組
劉俊傑,主日崇拜,2026-08-25,3,保羅小組
蔡依林,青年團契,2026-08-08,4,以斯帖小組
鄭文彬,社區關懷,2026-08-15,3,大衛小組
謝宗翰,週五禱告會,2026-08-29,2,保羅小組
王小明,主日崇拜,2026-09-01,4,大衛小組
林美惠,社區關懷,2026-09-05,3,約書亞小組
陳建宏,週五禱告會,2026-09-05,3,大衛小組
張雅婷,青年團契,2026-09-12,5,以斯帖小組
李冠緯,主日崇拜,2026-09-08,2,保羅小組
黃詩涵,社區關懷,2026-09-05,4,以斯帖小組
吳承恩,主日崇拜,2026-09-08,3,約書亞小組
劉俊傑,週五禱告會,2026-09-19,2,保羅小組
蔡依林,主日崇拜,2026-09-22,5,以斯帖小組
謝宗翰,青年團契,2026-09-12,3,保羅小組
